date,I_est
2020-09-14,537200.0
2020-09-15,532670.0
2020-09-16,530901.0
2020-09-17,531131.0
2020-09-18,532699.0
2020-09-19,535116.0
2020-09-20,547643.0
2020-09-21,555201.0
2020-09-22,566406.0
2020-09-23,573785.0
2020-09-24,583160.0
2020-09-25,585961.0
2020-09-26,584236.0
2020-09-27,577635.0
2020-09-28,581305.0
2020-09-29,586156.0
2020-09-30,586723.0
2020-10-01,587644.0
2020-10-02,590964.0
2020-10-03,594689.0
2020-10-04,586454.0
2020-10-05,592141.0
2020-10-06,598854.0
2020-10-07,607091.0
2020-10-08,616307.0
2020-10-09,624012.0
2020-10-10,635376.0
2020-10-11,648549.0
2020-10-12,654933.0
2020-10-13,663239.0
2020-10-14,683494.0
2020-10-15,700994.0
2020-10-16,717757.0
2020-10-17,723227.0
2020-10-18,742151.0
2020-10-19,772941.0
2020-10-20,790491.0
2020-10-21,802449.0
2020-10-22,824452.0
2020-10-23,851253.0
2020-10-24,874098.0
2020-10-25,887595.0
2020-10-26,909110.0
2020-10-27,937491.0
2020-10-28,966708.0
2020-10-29,995525.0
2020-10-30,1025714.0
2020-10-31,1057636.0
2020-11-01,1083480.0
2020-11-02,1098681.0
2020-11-03,1163012.0
2020-11-04,1203656.0
2020-11-05,1253472.0
2020-11-06,1300467.0
2020-11-07,1349590.0
2020-11-08,1408581.0
2020-11-09,1463636.0
2020-11-10,1523760.0
2020-11-11,1584931.0
2020-11-12,1651895.0
2020-11-13,1730157.0
2020-11-14,1806342.0
2020-11-15,1866718.0
2020-11-16,1938517.0
2020-11-17,1978967.0
2020-11-18,2050314.0
2020-11-19,2112249.0
2020-11-20,2184207.0
2020-11-21,2234589.0
2020-11-22,2260456.0
2020-11-23,2325217.0
2020-11-24,2361084.0
2020-11-25,2392776.0
2020-11-26,2346044.0
2020-11-27,2382485.0
2020-11-28,2387017.0
2020-11-29,2388176.0
2020-11-30,2390970.0
2020-12-01,2422449.0
2020-12-02,2446049.0
2020-12-03,2473505.0
2020-12-04,2507554.0
2020-12-05,2549873.0
2020-12-06,2582769.0
2020-12-07,2594724.0
2020-12-08,2647255.0
2020-12-09,2681739.0
2020-12-10,2804605.0
2020-12-11,2826305.0
2020-12-12,2881572.0
2020-12-13,2932541.0
2020-12-14,2984371.0
2020-12-15,3012761.0
2020-12-16,3049888.0
2020-12-17,3069639.0
2020-12-18,3080945.0
2020-12-19,3066047.0
2020-12-20,3074085.0
2020-12-21,3075269.0
2020-12-22,3053560.0
2020-12-23,3058612.0
2020-12-24,3034430.0
2020-12-25,2923052.0
2020-12-26,2918264.0
2020-12-27,2863805.0
2020-12-28,2828077.0
2020-12-29,2807697.0
2020-12-30,2792302.0
2020-12-31,2867054.0
2021-01-01,2798134.0
2021-01-02,2865733.0
2021-01-03,2882777.0
2021-01-04,2872085.0
2021-01-05,2898437.0
2021-01-06,2937365.0
2021-01-07,3010833.0
2021-01-08,3188169.0
2021-01-09,3233705.0
2021-01-10,3307468.0
2021-01-11,3337337.0
2021-01-12,3352912.0
2021-01-13,3362839.0
2021-01-14,3283837.0
2021-01-15,3350653.0
2021-01-16,3295011.0
2021-01-17,3267963.0
2021-01-18,3222514.0
2021-01-19,3147386.0
2021-01-20,3075339.0
2021-01-21,2982303.0
2021-01-22,2870799.0
2021-01-23,2784634.0
2021-01-24,2714483.0
2021-01-25,2639954.0
2021-01-26,2568832.0
2021-01-27,2495322.0
2021-01-28,2427113.0
2021-01-29,2346076.0
2021-01-30,2279503.0
2021-01-31,2215909.0
2021-02-01,2200437.0
2021-02-02,2160813.0
2021-02-03,2097520.0
2021-02-04,2030146.0
2021-02-05,1969197.0
2021-02-06,1908138.0
2021-02-07,1857512.0
2021-02-08,1810701.0
2021-02-09,1755165.0
2021-02-10,1695695.0
2021-02-11,1635132.0
2021-02-12,1571392.0
2021-02-13,1511331.0
2021-02-14,1466950.0
2021-02-15,1397242.0
2021-02-16,1339690.0
2021-02-17,1284320.0
2021-02-18,1231917.0
2021-02-19,1176384.0
2021-02-20,1133685.0
2021-02-21,1099769.0
2021-02-22,1072663.0
2021-02-23,1050735.0
2021-02-24,1030021.0
2021-02-25,1000929.0
2021-02-26,976293.0
2021-02-27,956775.0
2021-02-28,940241.0
2021-03-01,934259.0
2021-03-02,933097.0
2021-03-03,931160.0
2021-03-04,927351.0
2021-03-05,919659.0
2021-03-06,906841.0
2021-03-07,893132.0
2021-03-08,881824.0
2021-03-09,863825.0
2021-03-10,846564.0
2021-03-11,831259.0
2021-03-12,818610.0
2021-03-13,804038.0
2021-03-14,790948.0
2021-03-15,792363.0
2021-03-16,788766.0
2021-03-17,781577.0
2021-03-18,775339.0
2021-03-19,769067.0
2021-03-20,766571.0
2021-03-21,760439.0
2021-03-22,764128.0
2021-03-23,761023.0
2021-03-24,791128.0
2021-03-25,796762.0
2021-03-26,810632.0
2021-03-27,818166.0
2021-03-28,825972.0
2021-03-29,841078.0
2021-03-30,848221.0
2021-03-31,857744.0
2021-04-01,872386.0
2021-04-02,885340.0
2021-04-03,891582.0
2021-04-04,894037.0
2021-04-05,913824.0
2021-04-06,924493.0
2021-04-07,912407.0
2021-04-08,924862.0
2021-04-09,933130.0
2021-04-10,939702.0
2021-04-11,940661.0
2021-04-12,937220.0
2021-04-13,955711.0
2021-04-14,961271.0
2021-04-15,958654.0
2021-04-16,967538.0
2021-04-17,958413.0
2021-04-18,964369.0
2021-04-19,955980.0
2021-04-20,955014.0
2021-04-21,943965.0
2021-04-22,930334.0
2021-04-23,908572.0
2021-04-24,892515.0
2021-04-25,879592.0
2021-04-26,859678.0
2021-04-27,831022.0
2021-04-28,811894.0
2021-04-29,795345.0
2021-04-30,770323.0
2021-05-01,763110.0
2021-05-02,749883.0
2021-05-03,735448.0
2021-05-04,715746.0
2021-05-05,696851.0
2021-05-06,676583.0
2021-05-07,662098.0
2021-05-08,642755.0
2021-05-09,631086.0
2021-05-10,620594.0
2021-05-11,603817.0
2021-05-12,583944.0
2021-05-13,564148.0
2021-05-14,548004.0
2021-05-15,530314.0
2021-05-16,517350.0
2021-05-17,497481.0
2021-05-18,483772.0
2021-05-19,467021.0
2021-05-20,451081.0
2021-05-21,431581.0
2021-05-22,417534.0
2021-05-23,408583.0
2021-05-24,397945.0
2021-05-25,386471.0
2021-05-26,374861.0
2021-05-27,363524.0
2021-05-28,343858.0
2021-05-29,326351.0
2021-05-30,315925.0
2021-05-31,296744.0
2021-06-01,288819.0
2021-06-02,276366.0
2021-06-03,264330.0
2021-06-04,253178.0
2021-06-05,247418.0
2021-06-06,239526.0
2021-06-07,231554.0
2021-06-08,220547.0
2021-06-09,214397.0
2021-06-10,202368.0
2021-06-11,204956.0
2021-06-12,200803.0
2021-06-13,198626.0
2021-06-14,204181.0
2021-06-15,193731.0
2021-06-16,188894.0
2021-06-17,182447.0
2021-06-18,185920.0
2021-06-19,179652.0
2021-06-20,178685.0
2021-06-21,175227.0
2021-06-22,173198.0
2021-06-23,167487.0
2021-06-24,167165.0
2021-06-25,167170.0
2021-06-26,167394.0
